prov_name,prov_id,kab_name,kab_id,kec_name,kec_id,kel_name,kel_id,paslon1,paslon1_perc,paslon2,paslon2_perc,paslon3,paslon3_perc,tot_tps_foto_approved_kawal_pemilu,tot_tps,tps_coverage_perc
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,ALUE BAGOK,1.0,270,90.00%,29,9.67%,1,0.33%,2,2,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,ALUE BATEE,2.0,107,69.03%,47,30.32%,1,0.65%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,ALUE SUNDAK,3.0,159,82.38%,32,16.58%,2,1.04%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,ARONGAN,4.0,172,86.87%,24,12.12%,2,1.01%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,COT BULOH,5.0,245,77.78%,67,21.27%,3,0.95%,2,2,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,COT JURU MUDI,6.0,106,76.81%,31,22.46%,1,0.72%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,COT KUMBANG,7.0,145,80.11%,35,19.34%,1,0.55%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,GUNONG PULO,9.0,146,71.92%,44,21.67%,13,6.40%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,KARANG HAMPA,10.0,32,52.46%,29,47.54%,0,0.00%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,KEUB,11.0,404,90.79%,34,7.64%,7,1.57%,2,2,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,PANTE MUTIA,13.0,181,84.98%,32,15.02%,0,0.00%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,PANTON BAHAGIA,14.0,110,77.46%,31,21.83%,1,0.70%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,PANTON MAKMU,15.0,160,88.40%,21,11.60%,0,0.00%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,PEULANTEU LB,16.0,435,85.29%,71,13.92%,4,0.78%,2,2,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,PEURIBU,17.0,542,84.69%,93,14.53%,5,0.78%,3,3,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,RIMBA LANGGEH,18.0,156,90.17%,15,8.67%,2,1.16%,1,2,50.00%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,SEUNEUBOK LHONG,19.0,133,88.08%,18,11.92%,0,0.00%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,SIMPANG PEUT,21.0,360,85.31%,50,11.85%,12,2.84%,2,3,66.67%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,SUAK BIDOK,22.0,173,87.37%,22,11.11%,3,1.52%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,SUAK IE BEUSO,23.0,173,87.37%,22,11.11%,3,1.52%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,SUAK KEUMUDEE,24.0,91,57.23%,65,40.88%,3,1.89%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,TEUPIN PERAHO,25.0,443,85.69%,70,13.54%,4,0.77%,2,2,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,UJONG BEUSA,26.0,107,66.88%,52,32.50%,1,0.63%,1,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,UJONG SIMPANG,27.0,350,88.83%,42,10.66%,2,0.51%,2,2,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,ALUE BAKONG,1.0,124,87.32%,14,9.86%,4,2.82%,1,2,50.00%
ACEH,1,ACEH BARAT,1,BUBON,2.0,ALUE LHOK,2.0,157,75.12%,49,23.44%,3,1.44%,1,1,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,BEURAWANG,3.0,247,69.38%,106,29.78%,3,0.84%,2,2,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,BLANG SIBEUTONG,4.0,317,79.25%,69,17.25%,14,3.50%,2,2,100%
