prov_name,prov_id,kab_name,kab_id,kec_name,kec_id,kel_name,kel_id,paslon1,paslon1_perc,paslon2,paslon2_perc,paslon3,paslon3_perc,tot_tps_foto_approved_kawal_pemilu,tot_tps,tps_coverage_perc
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,ALUE BAGOK,1.0,270.0,90.00%,29.0,9.67%,1.0,0.33%,2.0,2,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,ALUE BATEE,2.0,107.0,69.03%,47.0,30.32%,1.0,0.65%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,ALUE SUNDAK,3.0,159.0,82.38%,32.0,16.58%,2.0,1.04%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,ARONGAN,4.0,172.0,86.87%,24.0,12.12%,2.0,1.01%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,COT BULOH,5.0,245.0,77.78%,67.0,21.27%,3.0,0.95%,2.0,2,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,COT JURU MUDI,6.0,106.0,76.81%,31.0,22.46%,1.0,0.72%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,COT KUMBANG,7.0,145.0,80.11%,35.0,19.34%,1.0,0.55%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,GUNONG PULO,9.0,146.0,71.92%,44.0,21.67%,13.0,6.40%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,KARANG HAMPA,10.0,32.0,52.46%,29.0,47.54%,0.0,0.00%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,KEUB,11.0,404.0,90.79%,34.0,7.64%,7.0,1.57%,2.0,2,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,PANTE MUTIA,13.0,181.0,84.98%,32.0,15.02%,0.0,0.00%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,PANTON BAHAGIA,14.0,110.0,77.46%,31.0,21.83%,1.0,0.70%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,PANTON MAKMU,15.0,160.0,88.40%,21.0,11.60%,0.0,0.00%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,PEULANTEU LB,16.0,435.0,85.29%,71.0,13.92%,4.0,0.78%,2.0,2,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,PEURIBU,17.0,542.0,84.69%,93.0,14.53%,5.0,0.78%,3.0,3,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,RIMBA LANGGEH,18.0,156.0,90.17%,15.0,8.67%,2.0,1.16%,1.0,2,50.00%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,SEUNEUBOK LHONG,19.0,133.0,88.08%,18.0,11.92%,0.0,0.00%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,SIMPANG PEUT,21.0,360.0,85.31%,50.0,11.85%,12.0,2.84%,2.0,3,66.67%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,SUAK BIDOK,22.0,173.0,87.37%,22.0,11.11%,3.0,1.52%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,SUAK IE BEUSO,23.0,173.0,87.37%,22.0,11.11%,3.0,1.52%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,SUAK KEUMUDEE,24.0,91.0,57.23%,65.0,40.88%,3.0,1.89%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,TEUPIN PERAHO,25.0,443.0,85.69%,70.0,13.54%,4.0,0.77%,2.0,2,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,UJONG BEUSA,26.0,107.0,66.88%,52.0,32.50%,1.0,0.63%,1.0,1,100%
ACEH,1,ACEH BARAT,1,ARONGAN LAMBALEK,1.0,UJONG SIMPANG,27.0,350.0,88.83%,42.0,10.66%,2.0,0.51%,2.0,2,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,ALUE BAKONG,1.0,124.0,87.32%,14.0,9.86%,4.0,2.82%,1.0,2,50.00%
ACEH,1,ACEH BARAT,1,BUBON,2.0,ALUE LHOK,2.0,157.0,75.12%,49.0,23.44%,3.0,1.44%,1.0,1,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,BEURAWANG,3.0,247.0,69.38%,106.0,29.78%,3.0,0.84%,2.0,2,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,BLANG SIBEUTONG,4.0,317.0,79.25%,69.0,17.25%,14.0,3.50%,2.0,2,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,COT LADA,6.0,78.0,81.25%,15.0,15.63%,3.0,3.13%,1.0,1,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,GUNONG PANAH,7.0,148.0,80.00%,35.0,18.92%,2.0,1.08%,1.0,1,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,KUTA PADANG,9.0,405.0,82.32%,83.0,16.87%,4.0,0.81%,2.0,2,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,LAYUNG,10.0,208.0,69.10%,85.0,28.24%,8.0,2.66%,2.0,2,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,PEULANTEU SP,12.0,195.0,77.69%,47.0,18.73%,9.0,3.59%,1.0,2,50.00%
ACEH,1,ACEH BARAT,1,BUBON,2.0,RAMBONG,13.0,187.0,82.74%,38.0,16.81%,1.0,0.44%,1.0,1,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,SEUMULENG,14.0,184.0,71.88%,70.0,27.34%,2.0,0.78%,1.0,1,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,SEUNEUBOK TRAP,15.0,125.0,82.24%,25.0,16.45%,2.0,1.32%,1.0,1,100%
ACEH,1,ACEH BARAT,1,BUBON,2.0,ULEE BLANG,17.0,109.0,76.76%,33.0,23.24%,0.0,0.00%,1.0,1,100%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,BLANG BEURANDANG,1.0,1620.0,72.35%,570.0,25.46%,49.0,2.19%,9.0,9,100%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,DRIEN RAMPAK,2.0,3001.0,76.03%,864.0,21.89%,82.0,2.08%,16.0,16,100%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,GAMPA,3.0,1330.0,76.48%,378.0,21.74%,31.0,1.78%,8.0,10,80.00%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,GAMPONG DARAT,4.0,356.0,73.86%,118.0,24.48%,8.0,1.66%,2.0,2,100%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,KAMPUNG BELAKANG,5.0,821.0,66.05%,375.0,30.17%,47.0,3.78%,6.0,6,100%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,KUTA PADANG,6.0,1875.0,71.73%,657.0,25.13%,82.0,3.14%,11.0,13,84.62%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,LAPANG,7.0,1866.0,73.87%,608.0,24.07%,52.0,2.06%,10.0,13,76.92%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,LEUHAN,8.0,1623.0,76.70%,465.0,21.98%,28.0,1.32%,9.0,11,81.82%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,PADANG SEURAHET,9.0,1268.0,78.76%,323.0,20.06%,19.0,1.18%,7.0,7,100%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,PANGGONG,10.0,289.0,58.86%,180.0,36.66%,22.0,4.48%,2.0,3,66.67%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,PASAR ACEH,11.0,62.0,35.43%,83.0,47.43%,30.0,17.14%,1.0,1,100%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,PASIR,12.0,168.0,71.19%,66.0,27.97%,2.0,0.85%,1.0,1,100%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,RUNDENG,13.0,1205.0,72.90%,404.0,24.44%,44.0,2.66%,7.0,8,87.50%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,SEUNEUBOK,14.0,2082.0,77.66%,559.0,20.85%,40.0,1.49%,11.0,14,78.57%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,SUAK INDRAPURI,15.0,229.0,60.74%,135.0,35.81%,13.0,3.45%,2.0,2,100%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,SUAK NIE,16.0,99.0,74.44%,28.0,21.05%,6.0,4.51%,1.0,1,100%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,SUAK RAYA,17.0,633.0,75.09%,193.0,22.89%,17.0,2.02%,4.0,4,100%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,SUAK RIBEE,18.0,695.0,75.38%,197.0,21.37%,30.0,3.25%,4.0,7,57.14%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,SUAK SIGADENG,19.0,319.0,80.35%,76.0,19.14%,2.0,0.50%,2.0,2,100%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,UJONG BAROH,20.0,1845.0,74.37%,568.0,22.89%,68.0,2.74%,11.0,15,73.33%
ACEH,1,ACEH BARAT,1,JOHAN PAHLAWAN,3.0,UJUNG KALAK,21.0,806.0,71.08%,288.0,25.40%,40.0,3.53%,5.0,10,50.00%
ACEH,1,ACEH BARAT,1,KAWAY XVI,4.0,ALUE LHEE,1.0,134.0,84.81%,21.0,13.29%,3.0,1.90%,1.0,1,100%
ACEH,1,ACEH BARAT,1,KAWAY XVI,4.0,ALUE LHOK,2.0,129.0,68.25%,57.0,30.16%,3.0,1.59%,1.0,2,50.00%
